Index,Time,SmoothedData
270,2.7000,94.95
271,2.7100,95.05
272,2.7200,95.24
273,2.7300,94.76
274,2.7400,94.52
275,2.7500,93.33
276,2.7600,92.00
277,2.7700,90.38
278,2.7800,88.76
279,2.7900,86.95
280,2.8000,85.10
281,2.8100,82.81
282,2.8200,80.38
283,2.8300,77.52
284,2.8400,74.67
285,2.8500,71.76
286,2.8600,68.81
287,2.8700,65.71
288,2.8800,62.48
289,2.8900,59.19
290,2.9000,55.67
291,2.9100,52.14
292,2.9200,48.48
293,2.9300,44.76
294,2.9400,41.24
295,2.9500,37.90
296,2.9600,34.95
297,2.9700,31.86
298,2.9800,28.86
299,2.9900,25.95
300,3.0000,23.24
301,3.0100,20.19
302,3.0200,17.38
303,3.0300,15.19
304,3.0400,13.05
305,3.0500,11.24
306,3.0600,9.24
307,3.0700,7.71
308,3.0800,6.48
309,3.0900,5.33
310,3.1000,4.52
311,3.1100,3.90
312,3.1200,3.38
313,3.1300,3.38
314,3.1400,3.57
315,3.1500,4.19
316,3.1600,4.52
317,3.1700,5.24
318,3.1800,6.67
319,3.1900,8.33
320,3.2000,9.90
321,3.2100,11.86
322,3.2200,14.29
323,3.2300,16.76
324,3.2400,19.00
325,3.2500,22.10
326,3.2600,25.05
327,3.2700,28.38
328,3.2800,31.67
329,3.2900,35.14
330,3.3000,38.33
331,3.3100,41.95
332,3.3200,45.62
333,3.3300,49.24
334,3.3400,52.71
335,3.3500,56.24
336,3.3600,59.81
337,3.3700,63.52
338,3.3800,66.76
339,3.3900,69.57
340,3.4000,72.33
341,3.4100,75.38
342,3.4200,78.14
343,3.4300,80.71
344,3.4400,83.10
345,3.4500,85.29
346,3.4600,87.29
347,3.4700,89.05
348,3.4800,90.67
349,3.4900,92.10
350,3.5000,92.95
351,3.5100,93.95
352,3.5200,94.67
353,3.5300,94.71
354,3.5400,95.05
355,3.5500,94.81
356,3.5600,94.24
357,3.5700,93.52
358,3.5800,92.38
359,3.5900,91.33
360,3.6000,90.29
361,3.6100,88.95
362,3.6200,86.76
363,3.6300,84.71
364,3.6400,82.52
365,3.6500,80.24
366,3.6600,78.00
367,3.6700,75.14
368,3.6800,72.24
369,3.6900,69.05
370,3.7000,66.00
371,3.7100,63.14
372,3.7200,59.76
373,3.7300,56.48
374,3.7400,53.14
375,3.7500,49.33
376,3.7600,46.14
377,3.7700,43.00
378,3.7800,39.67
379,3.7900,36.38
380,3.8000,33.19
381,3.8100,30.24
382,3.8200,27.05
383,3.8300,24.38
384,3.8400,21.95
385,3.8500,19.52
386,3.8600,17.38
387,3.8700,15.00
388,3.8800,12.90
389,3.8900,11.10
390,3.9000,9.81
391,3.9100,8.05
392,3.9200,6.67
393,3.9300,6.05
394,3.9400,5.43
395,3.9500,5.29
396,3.9600,5.67
397,3.9700,5.90
398,3.9800,6.29
399,3.9900,6.81
400,4.0000,7.76
401,4.0100,8.95
402,4.0200,9.90
403,4.0300,11.81
404,4.0400,13.81
405,4.0500,15.67
406,4.0600,17.86
407,4.0700,20.05
408,4.0800,22.86
409,4.0900,25.81
410,4.1000,28.76
411,4.1100,31.52
412,4.1200,34.86
413,4.1300,37.90
414,4.1400,41.29
415,4.1500,44.57
416,4.1600,48.05
417,4.1700,51.33
418,4.1800,54.81
419,4.1900,58.00
420,4.2000,61.62
421,4.2100,65.10
422,4.2200,68.19
423,4.2300,71.52
424,4.2400,74.00
425,4.2500,76.86
426,4.2600,79.48
427,4.2700,81.67
428,4.2800,84.05
429,4.2900,85.95
430,4.3000,87.67
431,4.3100,89.38
432,4.3200,91.10
433,4.3300,92.19
434,4.3400,93.57
435,4.3500,94.10
436,4.3600,94.38
437,4.3700,94.71
438,4.3800,94.76
439,4.3900,94.48
440,4.4000,94.29
441,4.4100,93.43
442,4.4200,92.48
443,4.4300,91.57
444,4.4400,90.05
445,4.4500,88.76
446,4.4600,86.62
447,4.4700,84.29
448,4.4800,82.24
449,4.4900,79.52
450,4.5000,76.90
451,4.5100,74.00
452,4.5200,71.19
453,4.5300,67.90
454,4.5400,64.76
455,4.5500,61.24
456,4.5600,57.95
457,4.5700,54.86
458,4.5800,51.24
459,4.5900,47.48
460,4.6000,44.19
461,4.6100,40.62
462,4.6200,37.33
463,4.6300,34.05
464,4.6400,30.95
465,4.6500,28.05
466,4.6600,24.90
467,4.6700,22.00
468,4.6800,19.67
469,4.6900,16.95
470,4.7000,15.00
471,4.7100,12.95
472,4.7200,11.29
473,4.7300,9.52
474,4.7400,8.19
475,4.7500,7.29
476,4.7600,6.67
477,4.7700,5.81
478,4.7800,5.10
479,4.7900,5.19
480,4.8000,5.48
481,4.8100,5.52
482,4.8200,6.24
483,4.8300,7.00
484,4.8400,7.86
485,4.8500,9.14
486,4.8600,10.57
487,4.8700,12.38
488,4.8800,14.76
489,4.8900,17.05
490,4.9000,18.10
491,4.9100,18.95
492,4.9200,20.00
493,4.9300,21.12
494,4.9400,22.38
495,4.9500,23.60
496,4.9600,24.79
497,4.9700,25.92
498,4.9800,27.75
499,4.9900,29.64
